orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
416,fef50_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef50,float64
417,fef50_zscore_pre,resultado_fvl,zscore_pre,fef50,float64
418,fef50_percent_predicted_post,resultado_fvl,percent_predicted_post,fef50,float64
419,fef50_zscore_post,resultado_fvl,zscore_post,fef50,float64
420,fef60_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef60,float64
421,fef60_zscore_pre,resultado_fvl,zscore_pre,fef60,float64
422,fef60_percent_predicted_post,resultado_fvl,percent_predicted_post,fef60,float64
423,fef60_zscore_post,resultado_fvl,zscore_post,fef60,float64
424,fef70_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef70,float64
425,fef70_zscore_pre,resultado_fvl,zscore_pre,fef70,float64
426,fef70_percent_predicted_post,resultado_fvl,percent_predicted_post,fef70,float64
427,fef70_zscore_post,resultado_fvl,zscore_post,fef70,float64
428,fef75_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef75,float64
429,fef75_zscore_pre,resultado_fvl,zscore_pre,fef75,float64
430,fef75_percent_predicted_post,resultado_fvl,percent_predicted_post,fef75,float64
431,fef75_zscore_post,resultado_fvl,zscore_post,fef75,float64
432,fef7585_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef7585,float64
433,fef7585_zscore_pre,resultado_fvl,zscore_pre,fef7585,float64
434,fef7585_percent_predicted_post,resultado_fvl,percent_predicted_post,fef7585,float64
435,fef7585_zscore_post,resultado_fvl,zscore_post,fef7585,float64
436,fef80_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef80,float64
437,fef80_zscore_pre,resultado_fvl,zscore_pre,fef80,float64
438,fef80_percent_predicted_post,resultado_fvl,percent_predicted_post,fef80,float64
439,fef80_zscore_post,resultado_fvl,zscore_post,fef80,float64
440,fef85_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef85,float64
441,fef85_zscore_pre,resultado_fvl,zscore_pre,fef85,float64
442,fef85_percent_predicted_post,resultado_fvl,percent_predicted_post,fef85,float64
443,fef85_zscore_post,resultado_fvl,zscore_post,fef85,float64
444,fef90_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef90,float64
445,fef90_zscore_pre,resultado_fvl,zscore_pre,fef90,float64
446,fef90_percent_predicted_post,resultado_fvl,percent_predicted_post,fef90,float64
447,fef90_zscore_post,resultado_fvl,zscore_post,fef90,float64
448,fefmax_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fefmax,float64
449,fefmax_zscore_pre,resultado_fvl,zscore_pre,fefmax,float64
450,fefmax_percent_predicted_post,resultado_fvl,percent_predicted_post,fefmax,float64
